TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS
11/19/2023,25.22,29.35,28.74,79,3.18,17.97
11/20/2023,25.01,28.74,28.37,82,8888,16.23
11/21/2023,25.98,28.65,28.33,81,5.36,15.37
11/22/2023,24.12,29.28,28.7,79,1.98,21.37
11/23/2023,24.3,29.07,28.71,81,3.52,12.97
11/24/2023,24.8,28.66,28.03,80,8.25,14.41
11/25/2023,26.84,29.59,28.58,76,8888,18.17
11/26/2023,26.63,28.64,28.06,83,5.76,9.17
11/27/2023,24.22,28.75,27.97,79,2.28,18.92
11/28/2023,24.54,28.74,28.11,81,3.01,19.02
11/29/2023,24.62,28.5,28.12,82,2.44,18.71
11/30/2023,25.75,28.44,28.16,85,3.35,14.35
12/1/2023,25.72,28.67,28.2,83,3.79,16.93
12/2/2023,25.84,28.48,28.15,82,7.61,14.33
12/3/2023,25.66,28.77,28.2,82,6.72,19.56
12/4/2023,24.42,28.73,28.17,80,10,12.35
12/5/2023,24.54,28.98,28.35,77,4.75,18.28
12/6/2023,26.12,28.88,28.55,78,15.39,21.17
12/7/2023,26.53,28.82,28.12,84,11.56,10.14
12/8/2023,26.74,28.89,28.02,78,0,20.71
12/9/2023,25.45,29.08,28.26,80,4.83,18.66
12/10/2023,25.73,28.49,28.14,82,6.03,20.03
12/11/2023,26.65,29.05,28.42,79,5.61,17.75
12/12/2023,24.82,29.16,28.48,82,6.38,18.6
12/13/2023,25.75,29.15,28.29,83,10.24,7.14
12/14/2023,26.97,28.83,28.12,80,5.16,19.65
12/15/2023,25.9,29.34,28.7,80,3.21,11.24
12/16/2023,24.58,29.3,28.57,83,8.67,18.41
12/17/2023,25.74,28.55,28.13,85,0,15.75
12/18/2023,25.65,28.92,28.19,81,6.42,16.81
12/19/2023,25.12,28.15,27.79,84,3.31,17.06
12/20/2023,25.67,28.53,28.17,84,0,20.25
12/21/2023,24.11,28.3,27.64,83,5.93,19.73
12/22/2023,24.22,29.15,28.61,80,3.67,19.28
12/23/2023,26.08,29.4,28.84,77,0,17.65
12/24/2023,26.74,29.32,28.63,82,3.16,21.75
12/25/2023,26.81,29.08,28.49,83,5.03,19.8
12/26/2023,26.71,28.88,28.41,80,8888,10.9
12/27/2023,26.86,29.39,28.63,81,8888,21.43
12/28/2023,26.96,29.25,28.57,84,8888,14.27
12/29/2023,26.87,29.31,28.57,84,1.96,22.18
12/30/2023,25.5,33.1,29.5,76,0,9.4
12/31/2023,25.9,30.9,27.6,86,0,9
1/1/2024,25.8,32.7,27.8,83,15.4,0.3
1/2/2024,24.3,32.4,26.9,87,36.8,6.7
1/3/2024,24.6,33.4,27.9,81,16.7,2.8
1/4/2024,24.7,32.9,27.9,81,7,9.3
1/5/2024,23.9,32,28.1,76,59,7.7
1/6/2024,24.2,32,27.3,86,3.5,5.5
1/7/2024,25,32.8,28.3,79,21.5,5.1
1/8/2024,25.5,29.2,26.5,92,1,7.1
1/9/2024,25.4,32.4,28.1,78,9.1,0
1/10/2024,25.3,34,29.5,73,0,2.5
1/11/2024,26.3,31.2,26.7,88,0,8.3
1/12/2024,24.1,33.1,28.5,78,34,3.2
1/13/2024,25.4,31.3,26.8,84,3,8
1/14/2024,25,31.8,27.3,81,2.8,0
1/15/2024,24.5,31.6,27.9,76,12.4,2.9
1/16/2024,24.1,31.6,27.3,75,0.9,1.2
1/17/2024,23.3,33,28.8,70,2.5,0.6
1/18/2024,25.6,33.5,28.7,70,0,6
1/19/2024,24.3,31.1,27.6,79,35.3,7.3
1/20/2024,24.4,31.6,27.1,79,5.5,0.8
1/21/2024,23.9,31.8,27.1,78,3,1.8
1/22/2024,24,33.8,28.2,77,0,4.2
1/23/2024,23.6,31.2,26.8,80,9,7.4
1/24/2024,23.7,29.9,27,80,3.3,2.1
1/25/2024,24.7,33.5,28,77,8888,0.3
1/26/2024,25.4,33.9,29,71,0.9,5.5
1/27/2024,25.4,33,28.8,69,0,8
1/28/2024,24.7,33.4,28.6,70,0,8.7
1/29/2024,25,32.2,28.5,75,0,9.6
1/30/2024,25.4,32.5,29,74,0,6.3
1/31/2024,25,31.7,27.3,85,0,8.6
2/1/2024,24.1,32.1,27.9,79,8.7,6.8
2/2/2024,24.1,32.2,27.6,81,8888,4
2/3/2024,24.6,32.2,27.1,87,18.5,5.2
2/4/2024,25,31.5,27.2,84,10.1,3.7
2/5/2024,24,32.8,28.9,71,35.5,2.4
2/6/2024,24.7,32.7,28.2,77,0,9.7
2/7/2024,23.3,32.2,27.4,76,61.5,9.7
2/8/2024,24.5,33.1,29.3,73,8888,4.3
2/9/2024,26,31.4,26.5,89,0.5,8.9
2/10/2024,24.9,31.6,27.4,82,18.3,1.1
2/11/2024,24.9,32,27.6,79,3.2,1.6
2/12/2024,24.9,32.2,27.2,80,4.5,0.4
2/13/2024,24.7,32.8,28.4,71,4.5,0.5
2/14/2024,25.1,33,28.6,72,0,4.3
2/15/2024,25.1,32.2,28.6,71,0,4.1
2/16/2024,25.6,34.7,28.8,67,8888,4.6
2/17/2024,24.8,34.7,29.2,64,0,7.4
2/18/2024,25.4,34,29.1,67,0,9.8
2/19/2024,25.4,33.3,29.3,71,0,9
2/20/2024,25.6,33.4,29.2,71,0,9.8
2/21/2024,25.7,34.6,29.8,70,0,9.5
2/22/2024,26.3,35.4,29.7,68,0,9.7
2/23/2024,26.2,33.3,29.5,73,0,9.2
2/24/2024,26.2,34.1,29.5,76,0,6.8
2/25/2024,24.8,35.6,28.2,77,11,8.6
2/26/2024,24.4,30.3,26.6,89,15,8.5
2/27/2024,24.5,31.9,28.5,76,8.1,
2/28/2024,24.8,34,29.4,71,0,7.9
2/29/2024,25.9,34.5,29.5,67,0,9.8
3/1/2024,25.7,32.4,28.8,74,0,9.6
3/2/2024,25.8,33.2,29,76,0,4.1
3/3/2024,26,32.4,28.5,79,8888,6.8
3/4/2024,26,32.7,28,79,0.7,4.5
3/5/2024,26,32.7,27.7,85,5.7,4.9
3/6/2024,25.8,32.9,28.8,78,10.8,2
3/7/2024,24.8,32.6,28.2,79,23,8.4
3/8/2024,25.1,33.2,28.7,77,8888,3.5
3/9/2024,25.6,32.6,26.9,84,0,5.4
3/10/2024,24.9,32.6,26,87,28.4,1
3/11/2024,24.5,32.2,28.6,72,8888,0
3/12/2024,24.5,33.1,28.2,76,0,5.4
3/13/2024,23.8,32.3,28,76,10.7,6.8
3/14/2024,24.5,33.9,29.1,71,0.8,1.5
